Gym Name,Latitude,Longitude
ActiveSG Gym @ Ang Mo Kio CC,1.366953,103.84042
ActiveSG Gym @ Fernvale Square,1.3914599,103.8732223
ActiveSG Gym @ Serangoon Central,1.3524426,103.8720102
ActiveSG Gym @ Toa Payoh,1.337439,103.844295
ActiveSG Gym @ Toa Payoh West CC,1.3351832,103.8451661
ActiveSG Hockey Village @ Boon Lay Gym,1.3477404,103.7115865
Bishan ActiveSG Gym,1.3553847,103.8514099
Bukit Batok ActiveSG Gym,1.3447276,103.7484817
Bukit Canberra ActiveSG Gym,1.4473162,103.8235641
Bukit Gombak ActiveSG Gym,1.3596884,103.7521939
Choa Chu Kang ActiveSG Gym,1.3910416,103.7481531
Clementi ActiveSG Gym,1.3109619,103.7650332
Delta ActiveSG Gym,1.2891624,103.820035
Enabling Village ActiveSG Gym,1.2872434,103.8148244
Heartbeat @ Bedok ActiveSG Gym,1.3269753,103.9321493
Jalan Besar ActiveSG Gym,1.3104768,103.8595381
Jurong East ActiveSG Gym,1.347005,103.7291088
Jurong Lake Gardens Gym,1.3304311,103.7254336
Jurong West ActiveSG Gym,1.3378059,103.6941925
Kallang Basin ActiveSG Gym,1.3226118,103.8724894
Katong ActiveSG Gym,1.3020979,103.8860737
Pasir Ris ActiveSG Gym,1.3740237,103.9514946
Sengkang ActiveSG Gym,1.3967499,103.8870317
Senja-Cashew Gym,1.38192,103.76454
Tampines ActiveSG Gym,1.3536977,103.9407675
Woodlands ActiveSG Gym,1.4345985,103.7795611
Yio Chu Kang ActiveSG Gym,1.3822319,103.845925
Yishun ActiveSG Gym,1.412209,103.8312733
